X,Y,Z,Height,Score
0.737414,-0.584185,9.452309,0.864026,88
1.1664854152990987,0.8811051262905801,0.8478809615907316,0.5472057530966681,78
0.723049,-0.593762,9.461885,0.774548,87
1.5032423757428506,1.4353271851239855,0.305555245862767,0.30908334454047554,74
0.737414,-0.584185,9.461885,0.677563,54
1.853464463222993,1.7067694825003754,0.6051124554708225,3.6588272120186565,57
0.742203,-0.59855,9.457097,0.902539,43
1.423178325329159,1.293800884646235,0.820101821474538,8.934346498536216,57
0.756568,-0.603339,9.452309,0.776746,31
1.654282071076058,1.1510386846333007,0.42453171519208643,8.030670111432501,51
0.718261,-0.588974,9.461885,0.657605,22
0.7071299900044616,0.26103505718427744,1.9253309749942844,7.924991718964225,43
0.732626,-0.593762,9.466674,0.756543,88
1.069391688044927,1.7972509028539163,0.882664533648098,5.582436014160797,73
0.737414,-0.588974,9.457097,0.665967,87
0.62032974201835,0.5674468446778513,1.6039032216431628,6.420011074439862,96
0.727837,-0.588974,9.461885,0.677686,51
0.07881999176067012,0.3647617228074457,0.252121730026911,9.318290872412314,55
0.737414,-0.593762,9.476251,0.838879,37
1.4567676772826534,0.3759015552618405,1.3389539191149022,9.257519693613153,50
0.708684,-0.593762,9.461885,0.886304,28
1.8665989676488917,0.02041677125493368,1.4388142423784511,0.07612462169976715,44
0.742203,-0.593762,9.481039,0.81947,22
1.2744333956150782,0.11608000628471375,1.7920272797233172,2.432080753471023,44
0.727837,-0.588974,9.461885,0.80946,88
1.2252748857733626,0.2977994106317252,0.023792391572393202,2.208658276965885,56
0.727837,-0.593762,9.466674,0.933118,87
0.737414,-0.584185,9.476251,0.66676,84
0.732626,-0.588974,9.471462,0.710156,50
0.742203,-0.59855,9.461885,0.882397,43
0.727837,-0.588974,9.476251,0.78938,36
0.727837,-0.588974,9.44752,0.725232,31
0.746991,-0.59855,9.466674,0.79231,28
0.737414,-0.593762,9.457097,0.862073,25
0.732626,-0.584185,9.476251,0.800305,22
0.732626,-0.579397,9.471462,0.795483,23
0.737414,-0.588974,9.452309,0.773938,88
0.732626,-0.588974,9.466674,0.825696,88
0.742203,-0.584185,9.471462,0.684094,87
0.737414,-0.588974,9.481039,0.798901,85
0.727837,-0.593762,9.471462,0.759473,46
